43 component (type=section) sẽ chụp.
StandardCategoryPage (section): đã lưu 40/40 ảnh
StandardProductDetail (section): đã lưu 40/40 ảnh
StandardCheckout (section): đã lưu 40/40 ảnh
StandardProfile (section): đã lưu 40/40 ảnh
Hero (section): đã lưu 40/40 ảnh
HeroBottomAligned (section): đã lưu 40/40 ảnh
AnnouncementBar (section): đã lưu 40/40 ảnh
Header (section): đã lưu 40/40 ảnh
LayeredSlideshow (section): đã lưu 40/40 ảnh
Footer (section): đã lưu 40/40 ảnh
CollectionLinksSpotlight (section): đã lưu 40/40 ảnh
CollectionLinksText (section): đã lưu 40/40 ảnh
CollectionListsBento (section): đã lưu 40/40 ảnh
CollectionListsCarousel (section): đã lưu 40/40 ảnh
CollectionListsEditorial (section): đã lưu 40/40 ảnh
CollectionListsGrid (section): đã lưu 40/40 ảnh
FeaturedCollectionCarousel (section): đã lưu 40/40 ảnh
FeaturedCollectionEditorial (section): đã lưu 40/40 ảnh
FeaturedCollectionGrid (section): đã lưu 40/40 ảnh
FeaturedProducts (section): đã lưu 40/40 ảnh
ProductHighlight (section): đã lưu 40/40 ảnh
ProductHotspot (section): đã lưu 40/40 ảnh
RecommendedProducts (section): đã lưu 40/40 ảnh
FiltersSidebar (section): đã lưu 40/40 ảnh
BlogPostCarousel (section): đã lưu 40/40 ảnh
BlogPostEditorial (section): đã lưu 40/40 ảnh
BlogPostGrid (section): đã lưu 40/40 ảnh
Carousel (section): đã lưu 40/40 ảnh
Editorial (section): đã lưu 40/40 ảnh
EditorialJumboText (section): đã lưu 40/40 ảnh
ImageCompare (section): đã lưu 40/40 ảnh
ImageWithText (section): đã lưu 40/40 ảnh
FAQ (section): đã lưu 40/40 ảnh
IconsWithText (section): đã lưu 40/40 ảnh
Marquee (section): đã lưu 40/40 ảnh
Multicolumn (section): đã lưu 40/40 ảnh
PullQuote (section): đã lưu 40/40 ảnh
RichText (section): đã lưu 40/40 ảnh
HeroMarquee (section): đã lưu 40/40 ảnh
LargeLogo (section): đã lưu 40/40 ảnh
SlideshowFullFrame (section): đã lưu 40/40 ảnh
SlideshowInset (section): đã lưu 40/40 ảnh
SplitShowcase (section): đã lưu 40/40 ảnh
Tổng cộng: 1720 ảnh, manifest.json đã lưu tại C:\Users\ADMIN\Desktop\Github\multi-e-commerce\gen_fe_module\yolo_dataset\manifest.json
