epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.404,0.6166,4.08623,1.10637,0.3664,0.2147,0.20532,0.19333,0.4306,3.27973,0.96472,7.04274e-05,7.04274e-05,7.04274e-05
2,357.044,0.40056,2.8924,0.97899,0.70696,0.67987,0.77222,0.7281,0.4832,1.43472,0.942,0.000138627,0.000138627,0.000138627
3,531.656,0.38467,1.8607,0.95592,0.85266,0.85384,0.90485,0.85266,0.4312,0.93637,0.88837,0.000204015,0.000204015,0.000204015
4,662.096,0.32692,1.35789,0.91894,0.91494,0.90904,0.94427,0.89638,0.36194,0.72064,0.85887,0.000200348,0.000200348,0.000200348
5,780.432,0.28834,1.10876,0.89677,0.92079,0.9335,0.95442,0.91025,0.34577,0.61586,0.84787,0.00019613,0.00019613,0.00019613
6,901.978,0.26845,0.94366,0.88077,0.93125,0.95515,0.96987,0.92754,0.30465,0.52452,0.82651,0.000191913,0.000191913,0.000191913
7,1018.95,0.2432,0.8311,0.86865,0.94017,0.92774,0.95825,0.91953,0.29805,0.58705,0.81534,0.000187696,0.000187696,0.000187696
8,1133.11,0.23333,0.75365,0.8601,0.96049,0.96787,0.97964,0.94416,0.26704,0.42399,0.80316,0.000183478,0.000183478,0.000183478
9,1248.13,0.2194,0.70287,0.85452,0.95817,0.96835,0.9817,0.94848,0.25613,0.41045,0.79777,0.000179261,0.000179261,0.000179261
10,1368.74,0.213,0.66098,0.8512,0.97255,0.96766,0.98489,0.95332,0.23749,0.34828,0.79239,0.000175043,0.000175043,0.000175043
11,1481.54,0.20294,0.61951,0.84722,0.96114,0.97751,0.98423,0.95369,0.23625,0.3452,0.781,0.000170826,0.000170826,0.000170826
12,1595.21,0.1968,0.60191,0.84346,0.96499,0.9667,0.98288,0.95434,0.22374,0.33599,0.77205,0.000166609,0.000166609,0.000166609
13,1708.18,0.18863,0.56219,0.83285,0.96197,0.97694,0.98618,0.95754,0.22627,0.34686,0.77019,0.000162391,0.000162391,0.000162391
14,1822.44,0.18341,0.54773,0.83282,0.97197,0.97141,0.98669,0.95988,0.20366,0.31442,0.7553,0.000158174,0.000158174,0.000158174
15,1935.74,0.18246,0.52102,0.83604,0.96742,0.97877,0.98749,0.96606,0.19651,0.28903,0.74854,0.000153956,0.000153956,0.000153956
16,2050.4,0.17936,0.50685,0.83016,0.97519,0.9743,0.98734,0.9625,0.1925,0.28614,0.74226,0.000149739,0.000149739,0.000149739
17,2166.73,0.1724,0.48917,0.82923,0.97192,0.98224,0.99049,0.96735,0.18464,0.26415,0.73659,0.000145522,0.000145522,0.000145522
18,2284.92,0.17346,0.47407,0.82901,0.98064,0.97538,0.98874,0.9685,0.18216,0.27442,0.73057,0.000141304,0.000141304,0.000141304
19,2401.15,0.16888,0.46194,0.82732,0.97097,0.9814,0.9908,0.96993,0.17337,0.24283,0.72716,0.000137087,0.000137087,0.000137087
20,2518.37,0.16458,0.44797,0.82519,0.98314,0.97661,0.99065,0.96841,0.17676,0.25051,0.72325,0.000132869,0.000132869,0.000132869
21,2636.14,0.16277,0.43281,0.82434,0.9725,0.97941,0.98958,0.96999,0.16766,0.2484,0.72054,0.000128652,0.000128652,0.000128652
22,2753.09,0.16479,0.42785,0.8233,0.97231,0.98443,0.99044,0.96839,0.17649,0.23755,0.7224,0.000124435,0.000124435,0.000124435
23,2868.17,0.15807,0.41853,0.8259,0.97439,0.98019,0.99048,0.97116,0.16709,0.22988,0.71912,0.000120217,0.000120217,0.000120217
24,2985.12,0.15651,0.41419,0.82087,0.95546,0.94405,0.9768,0.95768,0.18406,0.33662,0.72267,0.000116,0.000116,0.000116
25,3147.33,0.15456,0.39819,0.81593,0.98595,0.97924,0.99262,0.97376,0.1593,0.22003,0.71151,0.000111782,0.000111782,0.000111782
26,3307.71,0.15061,0.39125,0.81774,0.97445,0.98102,0.99126,0.97156,0.15697,0.22166,0.70983,0.000107565,0.000107565,0.000107565
27,3422.54,0.15171,0.37868,0.81795,0.97818,0.98198,0.99125,0.97216,0.15532,0.21527,0.70965,0.000103348,0.000103348,0.000103348
28,3541.42,0.14875,0.3774,0.81583,0.97792,0.9717,0.9901,0.97259,0.14798,0.21507,0.70733,9.91302e-05,9.91302e-05,9.91302e-05
29,3750.04,0.14892,0.36938,0.81669,0.97499,0.99003,0.99194,0.97435,0.15399,0.20291,0.70764,9.49128e-05,9.49128e-05,9.49128e-05
30,3884.92,0.14706,0.3633,0.81865,0.98002,0.98768,0.99252,0.97606,0.14903,0.19738,0.7066,9.06954e-05,9.06954e-05,9.06954e-05
31,4007.57,0.14668,0.36108,0.81701,0.98368,0.98205,0.99216,0.97552,0.15087,0.20197,0.70531,8.6478e-05,8.6478e-05,8.6478e-05
32,4127.12,0.14463,0.35709,0.81724,0.98334,0.98855,0.99423,0.97861,0.14436,0.19448,0.7047,8.22606e-05,8.22606e-05,8.22606e-05
33,4306.29,0.14234,0.35082,0.81599,0.97817,0.98682,0.99352,0.97951,0.14101,0.18965,0.70495,7.80432e-05,7.80432e-05,7.80432e-05
34,4471.4,0.14051,0.34339,0.81345,0.98203,0.98237,0.99165,0.97728,0.1412,0.19014,0.70222,7.38258e-05,7.38258e-05,7.38258e-05
35,4676.6,0.13772,0.33301,0.80997,0.98457,0.98903,0.99316,0.97694,0.14617,0.18579,0.70085,6.96084e-05,6.96084e-05,6.96084e-05
36,4864.04,0.13596,0.33272,0.816,0.97769,0.99022,0.9935,0.97721,0.14036,0.1782,0.70151,6.5391e-05,6.5391e-05,6.5391e-05
37,5004.77,0.13794,0.33213,0.80939,0.98028,0.9895,0.9928,0.97779,0.13659,0.18151,0.69716,6.11736e-05,6.11736e-05,6.11736e-05
38,5153.47,0.1336,0.32001,0.81077,0.97863,0.98691,0.99268,0.97832,0.13719,0.17548,0.69905,5.69562e-05,5.69562e-05,5.69562e-05
39,5286.42,0.13199,0.31588,0.80955,0.98136,0.98756,0.9929,0.97752,0.13522,0.17636,0.69833,5.27388e-05,5.27388e-05,5.27388e-05
40,5423.31,0.13418,0.31918,0.80867,0.98825,0.98117,0.99357,0.97929,0.13202,0.17257,0.69797,4.85214e-05,4.85214e-05,4.85214e-05
41,5551.7,0.14166,0.40119,0.78958,0.98596,0.98211,0.99245,0.97767,0.13311,0.17597,0.69543,4.4304e-05,4.4304e-05,4.4304e-05
42,5685.76,0.12764,0.33685,0.77967,0.98445,0.98709,0.99394,0.97911,0.13015,0.1658,0.69105,4.00866e-05,4.00866e-05,4.00866e-05
43,5818.86,0.12489,0.32446,0.77892,0.981,0.9891,0.99394,0.97895,0.12632,0.16048,0.6908,3.58692e-05,3.58692e-05,3.58692e-05
44,5949.62,0.12517,0.32303,0.77611,0.98869,0.9848,0.99389,0.98054,0.12551,0.15476,0.69006,3.16518e-05,3.16518e-05,3.16518e-05
45,6087.52,0.11822,0.30549,0.77537,0.98828,0.98613,0.99391,0.98106,0.1208,0.15809,0.68999,2.74344e-05,2.74344e-05,2.74344e-05
46,6222.35,0.11861,0.30611,0.7761,0.98746,0.986,0.99385,0.98151,0.12018,0.14925,0.68872,2.3217e-05,2.3217e-05,2.3217e-05
47,6353.58,0.11639,0.2995,0.77025,0.98265,0.98915,0.99332,0.98099,0.11965,0.14966,0.68745,1.89996e-05,1.89996e-05,1.89996e-05
48,6494.21,0.11417,0.29797,0.77273,0.98403,0.98836,0.99367,0.98235,0.11542,0.14673,0.68778,1.47822e-05,1.47822e-05,1.47822e-05
49,6630.05,0.11365,0.29448,0.7728,0.98907,0.98628,0.9939,0.98198,0.11611,0.14446,0.68675,1.05648e-05,1.05648e-05,1.05648e-05
50,6762.22,0.11222,0.29128,0.77715,0.98626,0.98817,0.99397,0.98183,0.11488,0.14419,0.68683,6.3474e-06,6.3474e-06,6.3474e-06
